date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:44	2823/2823	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-7.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-7.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
13:10:44	87520/87520	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-155e0%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.woff	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
13:10:45	2418/2418	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-8.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-8.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
13:10:45	1220/1220	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-9.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-9.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
13:10:46	2452/2452	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-10.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/product/categories/elec-10.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
13:10:46	55945/55945	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/product/poster/poster-03.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/product/poster/poster-03.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
13:10:47	129284/129284	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-1f904%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.ttf	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-brands-400.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
13:10:48	80134/80134	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/product/electric/product-05.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/product/electric/product-05.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
13:10:48	2482/2482	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/icons/service9.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/icons/service9.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
13:10:48	4096/4096	URF---	200	added ('OK%20(cached)')	image/png		https://new.axilthemes.com/demo/template/etrade/assets/images/others/qr.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/others/qr.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
